ComplaintID,Timestamp,Category,ComplaintText,Sentiment,CleanedText,VADER_Sentiment,VADER_Compound
423,2025-12-18 16:40:00,Product,The handle on my new suitcase broke the very first time I used it.,Negative,handle new suitcase broke first time used,Negative,-0.4215
424,2025-12-19 19:20:10,Service,"The agent was nice, but the problem still isn't fixed.",Negative,agent nice problem still isnt fixed,Neutral,0.0258
425,2025-12-20 10:10:00,Billing,The refund was processed quickly and efficiently. Thank you for the good service.,Positive,refund processed quickly efficiently thank good service,Positive,0.7964
426,2025-12-21 14:55:00,Product,The finish on the table started chipping off within the first month.,Negative,finish table started chipping within first month,Neutral,0.0
427,2025-12-22 12:10:15,Delivery,The package was sent to my old address even though I updated it in my profile.,Negative,package sent old address even though updated profile,Neutral,0.0
428,2025-12-23 09:20:00,Service,Your mobile app is unusable. It crashes upon opening.,Negative,mobile app unusable crash upon opening,Negative,-0.4019
429,2025-12-24 17:45:00,Product,"It's functional, but the design is clunky and not very aesthetically pleasing.",Neutral,functional design clunky aesthetically pleasing,Positive,0.5267
430,2025-12-26 20:15:30,Billing,I found several hidden charges on my bill that were not disclosed upfront.,Negative,found several hidden charge bill disclosed upfront,Neutral,0.0
431,2025-12-27 11:45:00,Delivery,The delivery driver left my package in a puddle.,Negative,delivery driver left package puddle,Neutral,0.0
432,2025-12-28 13:30:00,Product,"The box was missing the power cord, so I can't even turn the device on.",Negative,box missing power cord cant even turn device,Negative,-0.296
433,2025-12-29 16:10:45,Service,I keep getting passed around to different agents and no one takes ownership of the issue.,Negative,keep getting passed around different agent one take ownership issue,Neutral,0.0
434,2025-12-30 18:20:00,Product,The 'waterproof' phone case failed and my phone is now destroyed.,Negative,waterproof phone case failed phone destroyed,Negative,-0.7579
435,2025-12-31 10:40:00,Billing,I need to inquire about the different payment plans you offer.,Neutral,need inquire different payment plan offer,Neutral,0.0
436,2026-01-02 15:10:00,Delivery,"The delivery was prompt, and the courier was very professional.",Positive,delivery prompt courier professional,Neutral,0.0
437,2026-01-03 09:50:20,Product,The device gets dangerously hot during charging.,Negative,device get dangerously hot charging,Negative,-0.4588
438,2026-01-04 12:35:00,Service,Your customer support seems to be run by bots and people who don't care.,Negative,customer support seems run bot people dont care,Neutral,0.0186
439,2026-01-05 14:25:55,Product,"The companion app is a disaster. It's slow, buggy, and drains my battery.",Negative,companion app disaster slow buggy drain battery,Negative,-0.6249
440,2026-01-06 17:40:00,Billing,The promotional discount was not applied correctly to my total.,Negative,promotional discount applied correctly total,Neutral,0.0
441,2026-01-07 11:10:00,Product,The materials feel very high-end and the craftsmanship is superb.,Positive,material feel highend craftsmanship superb,Positive,0.6249
442,2026-01-08 10:20:10,Delivery,Why is the shipping charge so high? It discourages me from ordering.,Negative,shipping charge high discourages ordering,Negative,-0.4404
443,2026-01-09 13:55:00,Service,"Your website is so poorly organized, I can't find what I'm looking for.",Negative,website poorly organized cant find im looking,Neutral,0.0
444,2026-01-10 16:30:30,Product,The product I got is a cheap plastic imitation of what was advertised.,Negative,product got cheap plastic imitation advertised,Neutral,0.0
445,2026-01-11 19:10:00,Billing,It has been over two weeks and I am still waiting for my refund to be processed.,Negative,two week still waiting refund processed,Neutral,0.0
446,2026-01-12 09:30:00,Product,The item arrived with a massive crack down the middle.,Negative,item arrived massive crack middle,Neutral,0.0
447,2026-01-13 11:50:00,Service,It's clear your company prioritizes new sales over supporting existing customers.,Negative,clear company prioritizes new sale supporting existing customer,Positive,0.6705
448,2026-01-14 15:15:15,Delivery,The delivery person was fantastic - very cheerful and helpful.,Positive,delivery person fantastic cheerful helpful,Positive,0.872
449,2025-01-15 18:40:00,General Inquiry,Could you tell me the return policy for sale items?,Neutral,could tell return policy sale item,Neutral,0.0
450,2025-01-16 10:10:00,Product,"It's okay for the price, but I wouldn't rave about it.",Neutral,okay price wouldnt rave,Positive,0.2263
451,2025-01-17 14:40:00,Billing,You charged my card after I cancelled my trial. I am reporting this as fraud.,Negative,charged card cancelled trial reporting fraud,Negative,-0.765
452,2025-01-18 17:20:25,Service,Your email support is just automated replies that don't address my issue.,Negative,email support automated reply dont address issue,Positive,0.4019
453,2025-01-19 09:45:00,Product,The plastic is so brittle that a piece broke off as I was unboxing it.,Negative,plastic brittle piece broke unboxing,Negative,-0.4215
454,2025-01-20 12:10:00,Delivery,"My package was left with a neighbor I don't know, without my consent.",Negative,package left neighbor dont know without consent,Positive,0.1262
455,2025-01-21 16:45:00,Product,The battery life on this is incredible! Lasts for days on a single charge.,Positive,battery life incredible last day single charge,Neutral,0.0
456,2025-01-22 19:10:45,Service,"The agent I spoke with, Linda, was amazing and deserves a commendation.",Positive,agent spoke linda amazing deserves commendation,Positive,0.5859
457,2025-01-23 11:30:00,Billing,I was told my total would be $100 but my invoice says $120.,Negative,told total would invoice say,Neutral,0.0
458,2025-01-24 13:50:10,Product,The item I received had clearly been opened and used before. The seal was broken.,Negative,item received clearly opened used seal broken,Negative,-0.1027
459,2025-01-25 15:10:00,General Inquiry,Is this item in stock at your Bandra location?,Neutral,item stock bandra location,Neutral,0.0
460,2025-01-26 10:40:00,Delivery,My order of ice cream arrived completely melted.,Negative,order ice cream arrived completely melted,Neutral,0.0
461,2025-01-27 09:10:00,Product,The 'easy assembly' furniture had misaligned holes and took me hours.,Negative,easy assembly furniture misaligned hole took hour,Positive,0.4404
462,2025-01-28 18:25:00,Service,Your automated phone menu is a labyrinth designed to prevent human contact.,Negative,automated phone menu labyrinth designed prevent human contact,Neutral,0.0258
463,2025-01-29 14:15:00,Billing,The price on the website changed between the time I viewed it and the time I purchased.,Negative,price website changed time viewed time purchased,Neutral,0.0
464,2025-01-30 11:40:00,Product,The color of the product is completely different from the pictures online.,Negative,color product completely different picture online,Neutral,0.0
465,2025-01-31 16:35:30,Delivery,I paid for gift wrapping and it came in a standard shipping box.,Negative,paid gift wrapping came standard shipping box,Positive,0.4404
466,2025-02-01 19:10:00,Product,"This is a well-built, sturdy product. I'm very impressed with the quality.",Positive,wellbuilt sturdy product im impressed quality,Positive,0.4767
467,2025-02-02 10:20:10,Service,Your website is completely broken on mobile devices. I can't place an order.,Negative,website completely broken mobile device cant place order,Negative,-0.5256
468,2025-02-03 12:50:00,Billing,Why was I automatically signed up for recurring payments?,Negative,automatically signed recurring payment,Neutral,0.0
469,2025-02-04 15:10:00,Product,"The product is not compatible with my system, despite claims that it was.",Negative,product compatible system despite claim,Neutral,0.0
470,2025-02-05 17:40:00,General Inquiry,Do you ship to addresses outside of India?,Neutral,ship address outside india,Neutral,0.0
471,2025-02-06 09:55:00,Delivery,The courier threw the package onto my balcony and damaged a plant pot.,Negative,courier threw package onto balcony damaged plant pot,Negative,-0.4404
472,2025-02-07 11:40:50,Product,The product has a serious design flaw that makes it almost unusable.,Negative,product serious design flaw make almost unusable,Negative,-0.0772
473,2025-02-08 14:30:00,Service,The 'solution' your support team gave me didn't work and they have since stopped responding.,Negative,solution support team gave didnt work since stopped responding,Positive,0.6874
474,2025-02-09 18:10:00,Product,This is the third faulty unit I have received. Your quality control is nonexistent.,Negative,third faulty unit received quality control nonexistent,Negative,-0.3182
475,2025-02-10 10:15:00,Billing,My account was debited a late fee but my payment was made on the due date.,Negative,account debited late fee payment made due date,Neutral,0.0
476,2025-02-11 13:10:00,Product,"It works as advertised. A solid, reliable product.",Positive,work advertised solid reliable product,Positive,0.1531
477,2025-02-12 16:25:00,Delivery,My delivery date was changed three times without any proactive communication.,Negative,delivery date changed three time without proactive communication,Negative,-0.3252
478,2025-02-13 19:50:00,Service,The customer service rep was short with me and seemed annoyed by my questions.,Negative,customer service rep short seemed annoyed question,Negative,-0.3818
479,2025-02-14 11:20:00,Product,The fabric is cheap and started to unravel after one wash.,Negative,fabric cheap started unravel one wash,Neutral,0.0
480,2025-02-15 09:35:00,Billing,I can't find the 'cancel subscription' button anywhere. This feels like a trap.,Negative,cant find cancel subscription button anywhere feel like trap,Positive,0.2359
481,2025-02-16 12:40:00,Product,The product is missing key features that are shown in all the video reviews.,Negative,product missing key feature shown video review,Negative,-0.296
482,2025-02-17 15:10:00,Delivery,I received someone else's order. This is a major screw-up.,Negative,received someone elses order major screwup,Negative,-0.4019
483,2025-02-18 18:30:00,Service,Your support team was fantastic! They went above and beyond to help me.,Positive,support team fantastic went beyond help,Positive,0.8402
484,2025-02-19 10:50:00,Product,"The product is just okay. It's not terrible, but I wouldn't buy it again.",Neutral,product okay terrible wouldnt buy,Negative,-0.296
485,2025-02-20 14:10:00,Billing,The refund I received was incomplete. You didn't refund the tax.,Negative,refund received incomplete didnt refund tax,Neutral,0.0
486,2025-02-21 17:40:00,Product,The device stopped working completely after a mandatory firmware update.,Negative,device stopped working completely mandatory firmware update,Negative,-0.079
487,2025-02-22 09:10:00,General Inquiry,What is the warranty period for this item?,Neutral,warranty period item,Neutral,0.0
488,2025-02-23 11:55:00,Service,An agent said they would call me back in an hour. That was yesterday.,Negative,agent said would call back hour yesterday,Neutral,0.0
489,2025-02-24 16:10:00,Delivery,The packaging was excellent and kept the fragile item safe.,Positive,packaging excellent kept fragile item safe,Positive,0.765
490,2025-02-25 19:20:00,Product,The user interface is extremely confusing and poorly laid out.,Negative,user interface extremely confusing poorly laid,Negative,-0.2944
491,2025-02-26 12:40:00,Billing,Your company's billing practices are deceptive and should be illegal.,Negative,company billing practice deceptive illegal,Negative,-0.5574
492,2025-02-27 15:25:00,Product,The adhesive strip provided is useless and won't stick to any surface.,Negative,adhesive strip provided useless wont stick surface,Negative,-0.4215
493,2025-02-28 10:10:00,Service,The hold time was less than a minute and my issue was resolved on the first call.,Positive,hold time less minute issue resolved first call,Positive,0.1119
494,2025-03-01 13:30:00,Delivery,"I received an empty, open box. My item was stolen in transit.",Negative,received empty open box item stolen transit,Negative,-0.6124
495,2025-03-02 17:50:00,Product,"A key part failed, rendering the entire expensive product useless.",Negative,key part failed rendering entire expensive product useless,Negative,-0.7269
496,2025-03-03 09:40:00,Billing,Your prices are significantly higher than all of your competitors.,Negative,price significantly higher competitor,Neutral,0.0
497,2025-03-04 11:10:00,Product,"I am so happy with this purchase, I've already recommended it to friends.",Positive,happy purchase ive already recommended friend,Positive,0.8271
498,2025-03-05 14:45:00,Service,"When I asked to speak to a manager, the agent refused and then hung up.",Negative,asked speak manager agent refused hung,Negative,-0.296
499,2025-03-06 18:10:00,Delivery,"The driver called me to say he was outside, then left before I could get downstairs.",Negative,driver called say outside left could get downstairs,Neutral,0.0
500,2025-03-07 10:30:00,Product,"The product is adequate, but the setup process was unnecessarily complicated.",Neutral,product adequate setup process unnecessarily complicated,Positive,0.2263
